pTr0,pTr2,pTr4,pH,pW,pS6,pS,pJ,pX0,pX1R,pX2,pX3,pX4,pX5,pTr0e,pTr2e,pTr3e,pTr4e,pTr5e,pHe,pWe,pS6e,pSe,pJe,pX0e,pX1Re,pX2e,pX3e,pX4e,pX5e,Cancer_type
0.289195752,0.289869585,0.29055351,0.254716947,-0.098899127,0.256333381,-0.09890868,-0.110048421,0.284813152,0.293220549,0.304566378,0.314416476,0.322373758,0.328197639,0.289195752,0.287024604,-0.021278883,0.280966517,0.01895111,0.261441351,-0.09898313,0.263739107,-0.098607993,-0.099074803,0.287211148,0.290134419,0.296776917,0.302921995,0.308990444,0.314690674,HCC
1.105429655,1.106643955,1.107611066,0.906207488,-0.043605668,0.914480461,-0.04359687,-0.098074721,1.109064214,1.102551955,1.09267014,1.081656391,1.069225439,1.055183444,1.105429655,1.102597661,0.566751627,1.092638954,0.651346994,0.944627709,-0.043978796,0.945549534,-0.043774986,-0.044179475,1.105456468,1.104215237,1.102678232,1.09987799,1.096751314,1.092860321,HBC
-0.058505718,-0.057559322,-0.056661352,-0.070491493,-0.14884679,-0.070706156,-0.148835998,-0.122425948,-0.062483476,-0.054759098,-0.044483298,-0.035935753,-0.029588576,-0.02617919,-0.058505718,-0.072979355,-0.30039571,-0.08117276,-0.24892286,-0.068329961,-0.148792176,-0.047209596,-0.147934343,-0.148868397,-0.067272404,-0.057069734,-0.043636936,-0.029950975,-0.016897337,-0.004226937,HCC
0.490768906,0.492465036,0.493810534,0.331309534,-0.131902298,0.336345527,-0.131857535,-0.119955503,0.495119136,0.487399448,0.475626054,0.462309675,0.447032406,0.428722108,0.490768906,0.466188779,0.073333643,0.452455294,0.177803942,0.361663588,-0.132030381,0.395859702,-0.130973269,-0.132203745,0.478806469,0.490433635,0.500900409,0.511430811,0.520652433,0.529083188,HBC
1.152295417,1.15229267,1.152445269,1.13818823,0.255704274,1.138907509,0.255688174,0.041872735,1.146907881,1.157010735,1.171012699,1.184096123,1.196050173,1.206766515,1.152295417,1.14558754,0.700658241,1.133574998,0.744782733,1.140444594,0.255502266,1.148896307,0.255189074,0.25512426,1.147556408,1.153830632,1.162381922,1.171064561,1.179376277,1.188023624,HCC
2.631202576,2.631220827,2.631248671,2.467993008,0.583256197,2.474680006,0.583253422,0.170488918,2.633060625,2.629545566,2.624359221,2.619061292,2.613695758,2.608302573,2.631202576,2.620350629,1.842979806,2.599865737,1.934459802,2.498514704,0.582674462,2.510315391,0.581661456,0.581967609,2.626360197,2.631042726,2.632880051,2.634565664,2.635404597,2.636723468,HBC
0.416891424,0.417465157,0.418070473,0.374052178,-0.069600556,0.375943451,-0.069579512,-0.101057909,0.412360144,0.421018384,0.432757189,0.443085657,0.451193175,0.458604132,0.416891424,0.448276378,0.480938247,0.479878248,0.468353602,0.386795059,-0.06994264,0.349582217,-0.071441551,-0.069620082,0.430715563,0.417515102,0.408277307,0.399994482,0.393653577,0.387685513,HCC
1.331167895,1.332205239,1.333033386,1.117166281,0.008187847,1.12592511,0.008250734,-0.082181447,1.334539619,1.328470796,1.319283676,1.309115583,1.296950216,1.285713826,1.331167895,1.387655806,1.454562534,1.444271733,1.445793082,1.166225865,0.007358489,1.097301526,0.004249389,0.00789008,1.359141134,1.329396644,1.299786726,1.271481082,1.24641736,1.221899357,HBC
-0.206201918,-0.205139743,-0.204150851,-0.201306721,-0.15984389,-0.200730678,-0.159861415,-0.124364634,-0.210007708,-0.202573462,-0.192752187,-0.184757938,-0.179535787,-0.175656821,-0.206201918,-0.209962303,-0.264178129,-0.215574107,-0.282131983,-0.201896119,-0.159714193,-0.195605913,-0.159128588,-0.159742333,-0.209184249,-0.205039053,-0.198920673,-0.193358728,-0.187751385,-0.182478029,HCC
0.229674074,0.231574877,0.233081104,0.100056598,-0.151342784,0.106490385,-0.15134808,-0.123382679,0.234328306,0.226095729,0.213518832,0.199224344,0.181958275,0.164478092,0.229674074,0.224032653,0.137358468,0.214862877,0.119097418,0.125547604,-0.151338136,0.133527214,-0.150762264,-0.151426503,0.227937122,0.228855989,0.226392457,0.222561362,0.218619549,0.213973937,HBC
